prem	hyp	label	annotated_label	lexical_linguistic	syntactic_linguistic	factivity_linguistic	negation_logic	boolean_logic	quantifier_logic	conditional_logic	comparative_logic	relational_reasoning	spatial_reasoning	temporal_reasoning	causal_reasoning	coreference_reasoning	world_knowledge	taxonomic_knowledge	general_q2	subject_q2	object_q2	pairID	genre
A proportionately large number of you responded to that survey.	Not a one of you participated in the study.	contradiction	contradiction	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	-	-	-	26077c	letters
Citing conservative critics of Brown vs.	Conservative critics did not write about the Brown case.	contradiction	contradiction	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	-	-	-	2394c	slate
 the evidence in the published work is quite thin	The work is widely regarded to be historically accurate.	contradiction	contradiction	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	-	-	-	33961c	verbatim
The first President Bush had authorized the use of U.S. military forces to ensure humanitarian relief in war-torn Somalia.	Bush authorized the military to help in Somalia for humanitarian reasons.	entailment	entailment	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	-	-	-	17932e	nineeleven
okay and and i think we just hang up i don't think we have to do anything else	We don't have to do anything else but put the phone down, I think. 	entailment	entailment	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	-	-	-	19668n	telephone
made by the FCIC based on such comments are discussed in the preambles to the final rules.	Discussed in the preamble are comments based on FCIC.	entailment	entailment	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	-	-	-	42164e	government
Among the allegations is that Tokyo Joe--listen, he calls himself that-- duped subscribers to his e-mail advisory , exaggerating his annual returns by leaving out losing trades.	Because Tokyo Joe doesn't tell people about the money he has lost he gets more investors. 	entailment	entailment	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	-	-	-	66937n	slate
After the death of Columbus in 1505, Jamaica became the property of his son Diego, who dispatched Don Juan de Esquivel to the island as Governor.	Jamaica was inherited by Columbus' son, Diego.	entailment	entailment	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	-	-	-	20024e	travel
Increased saving by current generations would expand the nation's capital stock, allowing future generations to better afford the nation's retirement costs while also enjoying higher standards of living.	Current generations' increased saving would expand the nation's capital stock, allowing future generations to more easily afford the nation's retirement costs while also enjoying higher standards of living.	entailment	entailment	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	-	-	-	106081n	government
 There was food for all, and houses had been conjured hastily to shelter the people.	Houses were quickly built to shelter people.	entailment	entailment	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	-	-	-	139640e	fiction
And take advantage of offers on select Audubon products.	Choose to buy Audubon products that have special prices.	entailment	entailment	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	-	-	-	30104e	letters
Don't expect to be swinging much after midnight, even in towns.	Things stay open all night because it's a place to party.	contradiction	contradiction	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	-	-	-	95794c	travel
Bin Ladin's Historical Opportunity Most Muslims prefer a peaceful and inclusive vision of their faith, not the violent sectarianism of Bin Ladin.	Most Muslims do not interpret their faith like Bin Laden	entailment	entailment	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	-	-	-	95976e	nineeleven
Our pleasure!	We really want to.	entailment	entailment	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	-	-	-	21299n	facetoface
I am sure you will understand my writing to you once more about the important work of the American Cancer Society.	Please cease and desist all written communication.	contradiction	contradiction	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	-	-	-	28314c	letters
And there was me.	There was also me.	entailment	entailment	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-	-	-	97006e	fiction
Matches are held only intermittently, however The Calcutta Cup Match, in early April, pits the Scots against their  auld  enemy the English and is a great spectacle.	The Calcutta Cup Match is seen by most to be one of the most boring events of a given year.	contradiction	contradiction	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	-	-	-	71762c	travel
We next present the test of our hypothesis by comparing the predicted percentages for each of the seven posts with the actual percentages.	We are presenting the test by comparing percentages for each of the posts with actual percentages.	entailment	entailment	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-	-	-	55262e	government
We need to look at the implications that these differing roles have for a range of issues, such as SES core competencies, performance standards, recruitment sources, mobility, and training and development programs.	It is very important for us to consider the implications of the these distinct roles on the issues.	entailment	entailment	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	-	-	-	99415e	government
Of course you only had a thousand students through all those six grades.	For all the six grade there was a thousand students.	entailment	entailment	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	-	-	-	115109e	facetoface
[Requires free registration.	The registration is free.	entailment	entailment	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	-	-	-	96522e	slate
But only four editors for such a massive work?	Seven editors is adequate for the work.	contradiction	neutral	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	-	-	-	1632c	verbatim
In this chapter, we will concentrate on the past hundred years, outlining major changes in American retail, apparel, and textiles that occurred before the 1980s.	No major changes occurred in American retail in the last hundred years.	contradiction	contradiction	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	-	-	-	28108c	oup
The third row of Exhibit 17 shows the Krewski, et al. 	Exhibit 17 has 2 rows.	contradiction	contradiction	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	-	-	-	77116c	government
Each prospective and current program is evaluated on the basis of its support of one or more aspects of women's needs.	Every program is judged on how well it helps women.	entailment	entailment	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	-	-	-	1949e	letters
And, you know, with this, you know, it wasn't many opportunities for kids to be special, because kids weren't, you know, you were pushed out of adult conversation, and just really pushed to the side.	Children were pushed out of adult conversation, and really just pushed to the side in general.	entailment	entailment	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	-	-	-	120849e	facetoface
English-types (like us) thrive in an environment that fosters dialogue.	English-types like us do poorly in a dialogue-rich environment.	contradiction	contradiction	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-	-	-	99108c	letters
And that's why I'm writing to you today.	That is why I am writing you on this day.	entailment	entailment	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-	-	-	55516e	letters
By investing in the community through this partnership, you can help more than 220,000 people in central Indiana next year.	You will not help any people in central Indiana next year by investing in the community through this partnership.	contradiction	contradiction	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	-	-	-	126211c	letters
By 1920, over half of the spinning and weaving capacity was in the South, leading industrialization there.	Most of the weaving capacity was in the North.	contradiction	contradiction	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-	-	-	30326c	oup
Through the youth mapping process, it was confirmed that the positive opportunities for youth on weekend evenings were lacking.	It was confirmed through the youth mapping process, that positive opportunities for younger people on weekend evenings were abundant.	contradiction	contradiction	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-	-	-	84221c	letters
It was winter and bitterly cold.	It was very hot outside.	contradiction	neutral	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-	-	-	87187c	verbatim
Is it like a gun?	Is it a ball?	contradiction	contradiction	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-	-	-	70589c	facetoface
The campus also can serve as a community forum, sponsoring public lectures by authorities on issues in the news.	The campus can serve as a forum for sponsored public lectures.	entailment	entailment	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-	-	-	127419e	letters
Customers rarely inform the sales clerk in a typical retail store if a desired product is out of stock; they either buy a different product or leave the store without making a purchase.	Customers always let a clerk know when an item is out of stock.	contradiction	contradiction	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-	-	-	21370c	oup
What's truly striking, though, is that Jobs has never really let this idea go.	Jobs clung to an idea.	entailment	entailment	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	-	-	-	113043e	slate
Said we was a-staying at the inn.	He was staying at the inn.	entailment	neutral	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	-	-	-	56634e	fiction
A valuable seven-week course called COPES [Community Orientation for Expatriate Spouses] introduces the non-employed spouse to day-to-day life and opportunities in central Indiana.	COPES is a seven week course that informs the non-employed spouses to various opportunities.	entailment	entailment	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	-	-	-	135744e	letters
in one sense um i'm i'm an older person in my fifties so i feel that we've lost some things in the sense that women have to work today	I don't think my age has anything to do with how I feel.	contradiction	contradiction	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	-	-	-	38888c	telephone
OK, I thought so.	I was very surprised by that, I had not suspected it. 	contradiction	contradiction	1	1	0	1	0	0	0	0	0	0	0	0	0	0	0	-	-	-	142899c	facetoface
I look forward to seeing your name on our membership list.	I hope you won't join our organization.	contradiction	contradiction	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	-	-	-	91388c	letters
Since 1984, Indy Reads (formerly the Greater Indianapolis Literacy League) has provided tutoring to adults in Marion County reading at the very lowest level of literacy.	They have provided tutoring for adults in Marion County since 1984.	entailment	entailment	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	-	-	-	47607e	letters
In the course of this chapter, I have had much to say about just how parents and teachers can capitalize on children's natural propensities.	I don't have much to say on the matter of capitalizing children's natural propensities. 	contradiction	contradiction	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	-	-	-	32252c	oup
right well the warmth that developed between them and again it i think was a picture of relationships	There was a mutual feeling in their relationship.	entailment	neutral	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-	-	-	40271e	telephone
(Points to the shell's colors) Sometimes people make jewelry out of these shells.	Shells aren't made into jewelry.	contradiction	contradiction	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	-	-	-	74824c	oup
More detailed implementation plans also will be necessary to address business system, processes, and resource issues.	Less detailed plans will be necessary to address business systems 	contradiction	contradiction	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-	-	-	56075c	government
Placido Domingo's appearance on the package, compellingly photographed in costume as the ancient King of Crete, (Anthony Tommasini, the New York Times ) is the main selling point for this new recording of one of Mozart's more obscure operas--a fact that does not make critics happy.	Placido Domingo's appearance is absolutely atrocious and uncompelling. 	contradiction	neutral	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	-	-	-	26343c	slate
that's hilarious to to get that jack off that's right oh that's a funny story	It's a hilarious story.	entailment	entailment	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	-	-	-	56546e	telephone
If you want to keep on, that's fine, but, so much time!	If you want to keep going, that is not okay at all. No way.	contradiction	contradiction	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	-	-	-	118314c	facetoface
Usually the records were taken from their jackets and loaded naked in stacks, where they picked up dust, scratched one another, and traded static electricity.	The records were loaded in stacks.	entailment	entailment	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	-	-	-	22136e	verbatim
She  People are rarely indifferent to the magazines I've put out.	People don't hold a strong opinion to the magazines I've put out.	contradiction	contradiction	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	-	-	-	69907e	slate
The living is not equal to the Ritz, he observed with a sigh.	The living cannot be compared to the Ritz, he noted sadly.	entailment	entailment	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-	-	-	98739e	fiction
The best place to view the spring azaleas is at the Azalea Festival in the last week of April at Tokyo's Nezu shrine.	There is an Azalea Festival at the Nezu Shrine.  	entailment	entailment	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	-	-	-	72032e	travel
yeah i try to no i uh uh try not to use any insecticides at all i try not to even use insecticides on my lawn but i sometimes i can't manage	I'd rather not use any insecticides at all, but sometimes I really need to	entailment	entailment	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	-	-	-	98180e	telephone
Regardless of how customization was done in the past, consumers paid more for the end product.	The final goods will always cost more for consumers, even if the entire production process is changed.	entailment	entailment	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	-	-	-	72258n	oup
The Congress also told LSC that it could not continue to fund its grantees presumptively and that it must begin to distribute its funds on a competitive basis.	LSC was told by Congress no longer could grantees be funded presumptively and funds have to be distributed on a basis that is competitive. 	entailment	entailment	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	-	-	-	128653e	government
We have provided an invoice to facilitate your gift.	We've given you an invoice to aid your gift. 	entailment	entailment	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-	-	-	59978e	letters
We have heard, seen this pattern before.	We've never seen or heard this pattern before.	contradiction	contradiction	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	-	-	-	122682c	slate
The analysis also addresses the various alternatives to the final rule which were considered, including differing compliance or reporting requirements, use of performance rather than design standards, and an exemption for small entities from coverage of the rule.	There are no standards for design.	contradiction	entailment	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	-	-	-	73221c	government
Local legend claims that he wrote part of his great saga, Os Lusadas, in what is now called the Camees Grotto, situated in the spacious tropical Camees Garden.	It is claimed that a portion of Os Lusadas was written in the Camees Grotto.	entailment	entailment	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	-	-	-	31537e	travel
The event is the definition of a crowd pleaser, replete with appearances by the Rockettes, the Mormon Tabernacle Choir, and Santa Claus (the act isn't entirely without bite; there's also a very funny moment involving a heart attack).	Expectations are low for the event on the back of Santa Claus's absence due to health concerns.	contradiction	neutral	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	-	-	-	42745c	slate
Indiana Legal Services (ILS) Executive Director Norman Metzger and Colleen Cotter, Director of the ILS Indiana Justice Center, were marvelous hosts.	The hosts were Norman and Colleen; and, they did a marvelous job. 	entailment	entailment	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	-	-	-	134834e	government
To see how The Bell Curve tries and fails to get around these inherent problems, see and .	Let's see how The Bell Curve tries, but fails, to get around these problems.	entailment	entailment	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-	-	-	89068e	slate
Based on our 1992 survey, we estimated lead times for two different   standard  lead times that represent performance for a typical product in the supplier's selection and  shortest  lead times that indicate a supplier's best practice.	We did not carry out any surveys in 1992.	contradiction	contradiction	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	-	-	-	86062c	oup
On that occasion, Lisa had seen a ferocious dog barking behind the chain-linked fence.	Lisa had seen a timid cat barking on the sidewalk. 	contradiction	contradiction	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	-	-	-	61596c	oup
what do you think about uh about our new governor since she happens to be a female	What do you think of our new female governor?	entailment	entailment	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	-	-	-	62327e	telephone
Take a few moments to list five or six competencies of a child you know well.	We recommended listing out at least five competencies of a child who is familiar to you.	entailment	entailment	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	-	-	-	101792e	oup
Poirot answered them categorically, almost mechanically. 	Poirot gave them the answers in perfect order, like a robot.	entailment	entailment	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	-	-	-	34580n	fiction
If you have any questions, please feel free to give us a call at 638-3360.	Please call us when you have a question	entailment	entailment	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	-	-	-	125204e	letters
The FDA solicited comments on these requirements in the notice of proposed rulemaking and has evaluated and responded to them in the preamble to the final rule.	The FDA did not seek out comments on these requirements regarding the proposed rulemaking.	contradiction	contradiction	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	-	-	-	61767c	government
In fiscal year 2000, it reported estimated improper Medicare Fee-for-Service payments of $11.	The payments were from fiscal year 2002.	contradiction	contradiction	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	-	-	-	66614c	government
From the outset of the factory system in woven apparel, after cloth has been laid out and cut in the configurations of patterns for various sizes, the cut parts have been grouped by parts of the garment'fronts, backs, sleeves, patches for pockets, collars'and tied together into bundles for operators, who sew together individual parts'hence the term  bundle system. 	The bundle systems gets its name from the way the cut parts are grouped together.	entailment	entailment	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	-	-	-	6849e	oup
have that well and it doesn't seem like very many people uh are really i mean there's a lot of people that are on death row but there's not very many people that actually um do get killed	There are a lot of people on death row, but not that many actually are executed.	entailment	entailment	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	-	-	-	139635e	telephone
The crate.	The box.	entailment	entailment	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-	-	-	90280e	facetoface
Um, what do you remember any stories they told you, your parents told you?	Can you recall the tales heard from your parents?	entailment	entailment	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	-	-	-	14946e	facetoface
And this is, I guess, after, after high school, kind of right before college, actually, while I was in college, before I went away to school, while I was still in Brooklyn.	When i was still in Brooklyn while I was in college.	entailment	entailment	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	-	-	-	116803e	facetoface
Marking cartons and containers for shipment according to channel-wide standards can speed up distribution.	It is unwise to incorporate the new standards because they will slow down distribution.	contradiction	neutral	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	-	-	-	19093c	oup
Kyoto's kabuki troupe performs in December and Osaka's in May.	Osaka does not have a kabuki troupe.	contradiction	contradiction	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-	-	-	65289c	travel
GAO secures all information obtained during the course of its work.	The information is secured.	entailment	entailment	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	-	-	-	14907e	government
have you read Tom Clancy	He asked if he read Stephen King.	contradiction	contradiction	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	-	-	-	49401c	telephone
This popular show spawned the aquatic show at the Bellagio.	Bellagio's water display was born from this well received show.	entailment	entailment	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	-	-	-	6030e	travel
I haven't tried opium, but cannot imagine that Opium smells much like an opium den; and it is impossible to guess at what the millennium will smell like.	I've used the drug opium, and know that the perfume Opium smells like it. 	contradiction	contradiction	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	-	-	-	85261c	verbatim
It had resumed its flight to Minnesota and saw the smoke from the crash of United 93, less than two minutes after the plane went down.	The plane to Minnesota crashed down.	contradiction	neutral	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	-	-	-	20572c	nineeleven
Anyway, thank you very much for trying to help us.	We are upset that you didn't try to help at all.	contradiction	contradiction	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	-	-	-	132009c	fiction
Macbeth's action to have the bond canceled becomes null and void.	Macbeth is stopped from annulling the bond.	entailment	entailment	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	-	-	-	61083e	verbatim
The park is a graceful and elegant expanse with fine views of the mountains, much loved by Dubliners since it was first opened to the public in 1747.	The park is pretty and has a great view of the mountains.	entailment	entailment	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	-	-	-	97773e	travel
He looks so awfully tired and bored, and yet you feel that underneath he's just like steel, all keen 38 and flashing.	He looks disengaged and very worn out.	entailment	entailment	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	-	-	-	15673e	fiction
For a half millennium or more, Madrid idled as a provincial backwater, rarely noticed on the arid central plains of Castile, until Felipe II plucked it from his royal cap in 1561 and proclaimed it the capital of Spain.	Felipe II decided that Madrid should remain a province.	contradiction	contradiction	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	-	-	-	15727c	travel
yeah that's the World League	The World League is that.	entailment	entailment	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	-	-	-	29188e	telephone
After the second course I began to feel slightly at ease, although I couldn't help being disturbed by the way they just stared at me.	I felt nervous by the way they looked at me.	entailment	entailment	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	-	-	-	55721e	fiction
You cannot touch, see, or hear the most important benefit of your Audubon membership.	Audubon membership's most important benefit cannot be touched, seen or heard.	entailment	entailment	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	-	-	-	138076e	letters
And the Family Studies Project is planning a journal.	The Family Studies Project hasn't planned anything. 	contradiction	contradiction	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	-	-	-	95901c	letters
Good spots for blues are Harvelle's Blues Club in Santa Monica, Jack's Sugar Shack in Hollywood, and the House of Blues in West Hollywood.	Harvelle's Blues Club in Santa Monica is a terrible spot for blues shows.	contradiction	contradiction	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	-	-	-	8565c	travel
see now in a situation like that the boys are only sixteen years old and they were sexually involved with her and i think like at that particular point she was twenty three you know so she wasn't really that much older than them and being a boy at that age i think that they're very um you know let's face it that's at a point in your life when you you're just starting to realize all the things of life	There was a 7 year gap between those involved in the situation.	entailment	entailment	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	-	-	-	55658e	telephone
Text Box 2.1: Gross Domestic Product and Gross National Product 48Text Box 4.1: How do the NIPA and federal unified budget concepts of	Text about GBP and USD.	contradiction	contradiction	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	-	-	-	109876c	government
About five minutes after the hijacking began, Betty Ong contacted the American Airlines Southeastern Reservations Office in Cary, North Carolina, via an AT&amp;T airphone to report an emergency aboard the flight.	Betty Ong was unsuccessful in contacting the American Airlines Southeastern Reservations Office.	contradiction	contradiction	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	-	-	-	54145c	nineeleven
no no not at all it	Not all of it	entailment	neutral	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-	-	-	73541e	telephone
He could stand as a symbol of resistance-above all, resistance to the West and to America.	He could be a token of resistance to the Western World.  	entailment	entailment	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	-	-	-	117260e	nineeleven
Parents seemed unable to distinguish  good  from  substandard  care.	Parents were acutely aware of the difference between good care and substandard care.	contradiction	contradiction	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	-	-	-	6669c	oup
The central features of the Results Act-strategic planning, performance measurement, and public reporting and accountability-can serve as powerful tools to help change the basic culture of government.	The Results Act has strategic planning as a deleted feature. 	contradiction	contradiction	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	-	-	-	837c	government
It is a contraction of gung-yeh ho-dzo , `industrial cooperation, 'and it caught on because it is easy to pronounce, as in 'Nam or the States .  'Nam by itself is no more derogatory or misleading than shortening airplane or telephone or gung-ho .	The abbreviation, 'Nam, became popular because it is easy to pronounce. 	entailment	entailment	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	-	-	-	109201e	verbatim
In the mid-1990s, Nordstrom ran newspaper ads promising, for certain products, that if the size or color of an item the customer wished to purchase was not in stock at the store, Nordstrom would locate the desired item and mail it to the customer at no additional cost'both the item and its delivery were free.	Nordstrom ran ads in the newspaper for help with pest control during the 1980s.	contradiction	contradiction	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	-	-	-	42718c	oup
Notwithstanding, even the brief glimpses afforded by such investigations can provide some insight into civilizations that existed hundreds or, in some cases, thousands of years earlier.	Insight about civilizations that existed in the past can be gleaned from these investigations.	entailment	entailment	0	0	1	0	1	0	0	0	0	0	0	1	0	0	0	-	-	-	7631e	verbatim
and they're fairly close to the water aren't they i mean they're right on the late	They're a distance from the water aren't they.	contradiction	contradiction	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-	-	-	129723c	telephone
There seems little point in going any further, except to say that this is the  Revised Edition ; one shudders to think of what might have been in the first edition.	There isn't a point in continuing on.	entailment	entailment	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	-	-	-	44751e	verbatim
