	Unnamed: 0	prem	hyp	label	lexical_linguistic	syntactic_linguistic	factivity_linguistic	negation_logic	boolean_logic	quantifier_logic	conditional_logic	comparative_logic	relational_reasoning	spatial_reasoning	temporal_reasoning	causal_reasoning	coreference_reasoning	world_knowledge	taxonomic_knowledge	pairID	genre	s1	s2	bag_of_words	aloxatel/bert-base-mnli	esim
23	23	Among the allegations is that Tokyo Joe--listen, he calls himself that-- duped subscribers to his e-mail advisory , exaggerating his annual returns by leaving out losing trades.	Because Tokyo Joe doesn't tell people about the money he has lost he gets more investors. 	entailment	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	66937n	slate	Among the allegations is that Tokyo Joe--listen, he calls himself that-- duped subscribers to his e-mail advisory , exaggerating his annual returns by leaving out losing trades.	Because Tokyo Joe doesn't tell people about the money he has lost he gets more investors. 	neutral	neutral	neutral
24	24	After the death of Columbus in 1505, Jamaica became the property of his son Diego, who dispatched Don Juan de Esquivel to the island as Governor.	Jamaica was inherited by Columbus' son, Diego.	entailment	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	20024e	travel	After the death of Columbus in 1505, Jamaica became the property of his son Diego, who dispatched Don Juan de Esquivel to the island as Governor.	Jamaica was inherited by Columbus' son, Diego.	entailment	entailment	entailment
25	25	Increased saving by current generations would expand the nation's capital stock, allowing future generations to better afford the nation's retirement costs while also enjoying higher standards of living.	Current generations' increased saving would expand the nation's capital stock, allowing future generations to more easily afford the nation's retirement costs while also enjoying higher standards of living.	entailment	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	106081n	government	Increased saving by current generations would expand the nation's capital stock, allowing future generations to better afford the nation's retirement costs while also enjoying higher standards of living.	Current generations' increased saving would expand the nation's capital stock, allowing future generations to more easily afford the nation's retirement costs while also enjoying higher standards of living.	entailment	entailment	entailment
26	26	 There was food for all, and houses had been conjured hastily to shelter the people.	Houses were quickly built to shelter people.	entailment	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	139640e	fiction	 There was food for all, and houses had been conjured hastily to shelter the people.	Houses were quickly built to shelter people.	neutral	entailment	entailment
27	27	And take advantage of offers on select Audubon products.	Choose to buy Audubon products that have special prices.	entailment	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	30104e	letters	And take advantage of offers on select Audubon products.	Choose to buy Audubon products that have special prices.	neutral	entailment	entailment
28	28	Don't expect to be swinging much after midnight, even in towns.	Things stay open all night because it's a place to party.	contradiction	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	95794c	travel	Don't expect to be swinging much after midnight, even in towns.	Things stay open all night because it's a place to party.	neutral	neutral	contradiction
29	29	Bin Ladin's Historical Opportunity Most Muslims prefer a peaceful and inclusive vision of their faith, not the violent sectarianism of Bin Ladin.	Most Muslims do not interpret their faith like Bin Laden	entailment	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	95976e	nineeleven	Bin Ladin's Historical Opportunity Most Muslims prefer a peaceful and inclusive vision of their faith, not the violent sectarianism of Bin Ladin.	Most Muslims do not interpret their faith like Bin Laden	entailment	entailment	contradiction
30	30	Our pleasure!	We really want to.	entailment	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	21299n	facetoface	Our pleasure!	We really want to.	neutral	neutral	neutral
31	31	I am sure you will understand my writing to you once more about the important work of the American Cancer Society.	Please cease and desist all written communication.	contradiction	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	28314c	letters	I am sure you will understand my writing to you once more about the important work of the American Cancer Society.	Please cease and desist all written communication.	neutral	contradiction	contradiction
32	32	And there was me.	There was also me.	entailment	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	97006e	fiction	And there was me.	There was also me.	entailment	entailment	entailment
33	33	Matches are held only intermittently, however The Calcutta Cup Match, in early April, pits the Scots against their  auld  enemy the English and is a great spectacle.	The Calcutta Cup Match is seen by most to be one of the most boring events of a given year.	contradiction	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	71762c	travel	Matches are held only intermittently, however The Calcutta Cup Match, in early April, pits the Scots against their  auld  enemy the English and is a great spectacle.	The Calcutta Cup Match is seen by most to be one of the most boring events of a given year.	neutral	neutral	contradiction
34	34	We next present the test of our hypothesis by comparing the predicted percentages for each of the seven posts with the actual percentages.	We are presenting the test by comparing percentages for each of the posts with actual percentages.	entailment	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	55262e	government	We next present the test of our hypothesis by comparing the predicted percentages for each of the seven posts with the actual percentages.	We are presenting the test by comparing percentages for each of the posts with actual percentages.	entailment	entailment	entailment
35	35	We need to look at the implications that these differing roles have for a range of issues, such as SES core competencies, performance standards, recruitment sources, mobility, and training and development programs.	It is very important for us to consider the implications of the these distinct roles on the issues.	entailment	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	99415e	government	We need to look at the implications that these differing roles have for a range of issues, such as SES core competencies, performance standards, recruitment sources, mobility, and training and development programs.	It is very important for us to consider the implications of the these distinct roles on the issues.	entailment	entailment	neutral
36	36	Of course you only had a thousand students through all those six grades.	For all the six grade there was a thousand students.	entailment	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	115109e	facetoface	Of course you only had a thousand students through all those six grades.	For all the six grade there was a thousand students.	contradiction	entailment	entailment
37	37	[Requires free registration.	The registration is free.	entailment	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	96522e	slate	[Requires free registration.	The registration is free.	contradiction	entailment	entailment
38	38	But only four editors for such a massive work?	Seven editors is adequate for the work.	contradiction	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1632c	verbatim	But only four editors for such a massive work?	Seven editors is adequate for the work.	entailment	contradiction	contradiction
39	39	In this chapter, we will concentrate on the past hundred years, outlining major changes in American retail, apparel, and textiles that occurred before the 1980s.	No major changes occurred in American retail in the last hundred years.	contradiction	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	28108c	oup	In this chapter, we will concentrate on the past hundred years, outlining major changes in American retail, apparel, and textiles that occurred before the 1980s.	No major changes occurred in American retail in the last hundred years.	entailment	contradiction	contradiction
40	40	The third row of Exhibit 17 shows the Krewski, et al. 	Exhibit 17 has 2 rows.	contradiction	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	77116c	government	The third row of Exhibit 17 shows the Krewski, et al. 	Exhibit 17 has 2 rows.	contradiction	contradiction	entailment
41	41	Each prospective and current program is evaluated on the basis of its support of one or more aspects of women's needs.	Every program is judged on how well it helps women.	entailment	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1949e	letters	Each prospective and current program is evaluated on the basis of its support of one or more aspects of women's needs.	Every program is judged on how well it helps women.	neutral	entailment	entailment
42	42	And, you know, with this, you know, it wasn't many opportunities for kids to be special, because kids weren't, you know, you were pushed out of adult conversation, and just really pushed to the side.	Children were pushed out of adult conversation, and really just pushed to the side in general.	entailment	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	120849e	facetoface	And, you know, with this, you know, it wasn't many opportunities for kids to be special, because kids weren't, you know, you were pushed out of adult conversation, and just really pushed to the side.	Children were pushed out of adult conversation, and really just pushed to the side in general.	entailment	entailment	entailment
43	43	English-types (like us) thrive in an environment that fosters dialogue.	English-types like us do poorly in a dialogue-rich environment.	contradiction	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	99108c	letters	English-types (like us) thrive in an environment that fosters dialogue.	English-types like us do poorly in a dialogue-rich environment.	neutral	contradiction	contradiction
44	44	And that's why I'm writing to you today.	That is why I am writing you on this day.	entailment	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	55516e	letters	And that's why I'm writing to you today.	That is why I am writing you on this day.	entailment	entailment	entailment
45	45	By investing in the community through this partnership, you can help more than 220,000 people in central Indiana next year.	You will not help any people in central Indiana next year by investing in the community through this partnership.	contradiction	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	126211c	letters	By investing in the community through this partnership, you can help more than 220,000 people in central Indiana next year.	You will not help any people in central Indiana next year by investing in the community through this partnership.	entailment	contradiction	contradiction
46	46	By 1920, over half of the spinning and weaving capacity was in the South, leading industrialization there.	Most of the weaving capacity was in the North.	contradiction	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	30326c	oup	By 1920, over half of the spinning and weaving capacity was in the South, leading industrialization there.	Most of the weaving capacity was in the North.	entailment	contradiction	entailment
47	47	Through the youth mapping process, it was confirmed that the positive opportunities for youth on weekend evenings were lacking.	It was confirmed through the youth mapping process, that positive opportunities for younger people on weekend evenings were abundant.	contradiction	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	84221c	letters	Through the youth mapping process, it was confirmed that the positive opportunities for youth on weekend evenings were lacking.	It was confirmed through the youth mapping process, that positive opportunities for younger people on weekend evenings were abundant.	entailment	contradiction	contradiction
48	48	It was winter and bitterly cold.	It was very hot outside.	contradiction	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	87187c	verbatim	It was winter and bitterly cold.	It was very hot outside.	contradiction	contradiction	contradiction
49	49	Is it like a gun?	Is it a ball?	contradiction	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	70589c	facetoface	Is it like a gun?	Is it a ball?	entailment	contradiction	entailment
50	50	The campus also can serve as a community forum, sponsoring public lectures by authorities on issues in the news.	The campus can serve as a forum for sponsored public lectures.	entailment	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	127419e	letters	The campus also can serve as a community forum, sponsoring public lectures by authorities on issues in the news.	The campus can serve as a forum for sponsored public lectures.	entailment	entailment	entailment
51	51	Customers rarely inform the sales clerk in a typical retail store if a desired product is out of stock; they either buy a different product or leave the store without making a purchase.	Customers always let a clerk know when an item is out of stock.	contradiction	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	21370c	oup	Customers rarely inform the sales clerk in a typical retail store if a desired product is out of stock; they either buy a different product or leave the store without making a purchase.	Customers always let a clerk know when an item is out of stock.	neutral	contradiction	contradiction
52	52	What's truly striking, though, is that Jobs has never really let this idea go.	Jobs clung to an idea.	entailment	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	113043e	slate	What's truly striking, though, is that Jobs has never really let this idea go.	Jobs clung to an idea.	contradiction	entailment	entailment
53	53	Said we was a-staying at the inn.	He was staying at the inn.	entailment	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	56634e	fiction	Said we was a-staying at the inn.	He was staying at the inn.	entailment	entailment	contradiction
54	54	A valuable seven-week course called COPES [Community Orientation for Expatriate Spouses] introduces the non-employed spouse to day-to-day life and opportunities in central Indiana.	COPES is a seven week course that informs the non-employed spouses to various opportunities.	entailment	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	135744e	letters	A valuable seven-week course called COPES [Community Orientation for Expatriate Spouses] introduces the non-employed spouse to day-to-day life and opportunities in central Indiana.	COPES is a seven week course that informs the non-employed spouses to various opportunities.	entailment	entailment	neutral
55	55	in one sense um i'm i'm an older person in my fifties so i feel that we've lost some things in the sense that women have to work today	I don't think my age has anything to do with how I feel.	contradiction	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	38888c	telephone	in one sense um i'm i'm an older person in my fifties so i feel that we've lost some things in the sense that women have to work today	I don't think my age has anything to do with how I feel.	contradiction	contradiction	contradiction
56	56	OK, I thought so.	I was very surprised by that, I had not suspected it. 	contradiction	1	1	0	1	0	0	0	0	0	0	0	0	0	0	0	142899c	facetoface	OK, I thought so.	I was very surprised by that, I had not suspected it. 	neutral	contradiction	neutral
57	57	I look forward to seeing your name on our membership list.	I hope you won't join our organization.	contradiction	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	91388c	letters	I look forward to seeing your name on our membership list.	I hope you won't join our organization.	neutral	contradiction	contradiction
58	58	Since 1984, Indy Reads (formerly the Greater Indianapolis Literacy League) has provided tutoring to adults in Marion County reading at the very lowest level of literacy.	They have provided tutoring for adults in Marion County since 1984.	entailment	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	47607e	letters	Since 1984, Indy Reads (formerly the Greater Indianapolis Literacy League) has provided tutoring to adults in Marion County reading at the very lowest level of literacy.	They have provided tutoring for adults in Marion County since 1984.	contradiction	entailment	entailment
59	59	In the course of this chapter, I have had much to say about just how parents and teachers can capitalize on children's natural propensities.	I don't have much to say on the matter of capitalizing children's natural propensities. 	contradiction	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	32252c	oup	In the course of this chapter, I have had much to say about just how parents and teachers can capitalize on children's natural propensities.	I don't have much to say on the matter of capitalizing children's natural propensities. 	entailment	contradiction	contradiction
60	60	right well the warmth that developed between them and again it i think was a picture of relationships	There was a mutual feeling in their relationship.	entailment	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	40271e	telephone	right well the warmth that developed between them and again it i think was a picture of relationships	There was a mutual feeling in their relationship.	neutral	entailment	entailment
61	61	(Points to the shell's colors) Sometimes people make jewelry out of these shells.	Shells aren't made into jewelry.	contradiction	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	74824c	oup	(Points to the shell's colors) Sometimes people make jewelry out of these shells.	Shells aren't made into jewelry.	neutral	contradiction	contradiction
62	62	More detailed implementation plans also will be necessary to address business system, processes, and resource issues.	Less detailed plans will be necessary to address business systems 	contradiction	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	56075c	government	More detailed implementation plans also will be necessary to address business system, processes, and resource issues.	Less detailed plans will be necessary to address business systems 	entailment	contradiction	contradiction
63	63	Placido Domingo's appearance on the package, compellingly photographed in costume as the ancient King of Crete, (Anthony Tommasini, the New York Times ) is the main selling point for this new recording of one of Mozart's more obscure operas--a fact that does not make critics happy.	Placido Domingo's appearance is absolutely atrocious and uncompelling. 	contradiction	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	26343c	slate	Placido Domingo's appearance on the package, compellingly photographed in costume as the ancient King of Crete, (Anthony Tommasini, the New York Times ) is the main selling point for this new recording of one of Mozart's more obscure operas--a fact that does not make critics happy.	Placido Domingo's appearance is absolutely atrocious and uncompelling. 	contradiction	contradiction	contradiction
64	64	that's hilarious to to get that jack off that's right oh that's a funny story	It's a hilarious story.	entailment	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	56546e	telephone	that's hilarious to to get that jack off that's right oh that's a funny story	It's a hilarious story.	entailment	entailment	entailment
65	65	If you want to keep on, that's fine, but, so much time!	If you want to keep going, that is not okay at all. No way.	contradiction	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	118314c	facetoface	If you want to keep on, that's fine, but, so much time!	If you want to keep going, that is not okay at all. No way.	contradiction	contradiction	contradiction
66	66	Usually the records were taken from their jackets and loaded naked in stacks, where they picked up dust, scratched one another, and traded static electricity.	The records were loaded in stacks.	entailment	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	22136e	verbatim	Usually the records were taken from their jackets and loaded naked in stacks, where they picked up dust, scratched one another, and traded static electricity.	The records were loaded in stacks.	entailment	entailment	entailment
67	67	She  People are rarely indifferent to the magazines I've put out.	People don't hold a strong opinion to the magazines I've put out.	contradiction	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	69907e	slate	She  People are rarely indifferent to the magazines I've put out.	People don't hold a strong opinion to the magazines I've put out.	contradiction	entailment	entailment
68	68	The living is not equal to the Ritz, he observed with a sigh.	The living cannot be compared to the Ritz, he noted sadly.	entailment	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	98739e	fiction	The living is not equal to the Ritz, he observed with a sigh.	The living cannot be compared to the Ritz, he noted sadly.	contradiction	entailment	entailment
69	69	The best place to view the spring azaleas is at the Azalea Festival in the last week of April at Tokyo's Nezu shrine.	There is an Azalea Festival at the Nezu Shrine.  	entailment	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	72032e	travel	The best place to view the spring azaleas is at the Azalea Festival in the last week of April at Tokyo's Nezu shrine.	There is an Azalea Festival at the Nezu Shrine.  	entailment	entailment	entailment
70	70	yeah i try to no i uh uh try not to use any insecticides at all i try not to even use insecticides on my lawn but i sometimes i can't manage	I'd rather not use any insecticides at all, but sometimes I really need to	entailment	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	98180e	telephone	yeah i try to no i uh uh try not to use any insecticides at all i try not to even use insecticides on my lawn but i sometimes i can't manage	I'd rather not use any insecticides at all, but sometimes I really need to	contradiction	entailment	entailment
71	71	Regardless of how customization was done in the past, consumers paid more for the end product.	The final goods will always cost more for consumers, even if the entire production process is changed.	entailment	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	72258n	oup	Regardless of how customization was done in the past, consumers paid more for the end product.	The final goods will always cost more for consumers, even if the entire production process is changed.	neutral	neutral	neutral
72	72	The Congress also told LSC that it could not continue to fund its grantees presumptively and that it must begin to distribute its funds on a competitive basis.	LSC was told by Congress no longer could grantees be funded presumptively and funds have to be distributed on a basis that is competitive. 	entailment	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	128653e	government	The Congress also told LSC that it could not continue to fund its grantees presumptively and that it must begin to distribute its funds on a competitive basis.	LSC was told by Congress no longer could grantees be funded presumptively and funds have to be distributed on a basis that is competitive. 	entailment	entailment	entailment
73	73	We have provided an invoice to facilitate your gift.	We've given you an invoice to aid your gift. 	entailment	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	59978e	letters	We have provided an invoice to facilitate your gift.	We've given you an invoice to aid your gift. 	entailment	entailment	entailment
74	74	We have heard, seen this pattern before.	We've never seen or heard this pattern before.	contradiction	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	122682c	slate	We have heard, seen this pattern before.	We've never seen or heard this pattern before.	contradiction	contradiction	contradiction
75	75	The analysis also addresses the various alternatives to the final rule which were considered, including differing compliance or reporting requirements, use of performance rather than design standards, and an exemption for small entities from coverage of the rule.	There are no standards for design.	contradiction	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	73221c	government	The analysis also addresses the various alternatives to the final rule which were considered, including differing compliance or reporting requirements, use of performance rather than design standards, and an exemption for small entities from coverage of the rule.	There are no standards for design.	entailment	contradiction	contradiction
76	76	Local legend claims that he wrote part of his great saga, Os Lusadas, in what is now called the Camees Grotto, situated in the spacious tropical Camees Garden.	It is claimed that a portion of Os Lusadas was written in the Camees Grotto.	entailment	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	31537e	travel	Local legend claims that he wrote part of his great saga, Os Lusadas, in what is now called the Camees Grotto, situated in the spacious tropical Camees Garden.	It is claimed that a portion of Os Lusadas was written in the Camees Grotto.	entailment	entailment	entailment
77	77	The event is the definition of a crowd pleaser, replete with appearances by the Rockettes, the Mormon Tabernacle Choir, and Santa Claus (the act isn't entirely without bite; there's also a very funny moment involving a heart attack).	Expectations are low for the event on the back of Santa Claus's absence due to health concerns.	contradiction	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	42745c	slate	The event is the definition of a crowd pleaser, replete with appearances by the Rockettes, the Mormon Tabernacle Choir, and Santa Claus (the act isn't entirely without bite; there's also a very funny moment involving a heart attack).	Expectations are low for the event on the back of Santa Claus's absence due to health concerns.	contradiction	contradiction	neutral
